Wavenumbers	Absorbance/g
cm\+(-1)	
3403.29	152.21429
3405.21	152.42857
3407.14	152.58571
3409.06	152.87143
3410.99	153.17143
3412.91	153.35714
3414.84	153.6
3416.76	153.84286
3418.69	154.14286
3420.61	154.41429
3422.54	154.68571
3424.46	154.94286
3426.39	155.21429
3428.31	155.55714
3430.24	155.88571
3432.16	156.27143
3434.09	156.48571
3436.01	156.81429
3437.94	157.15714
3439.86	157.57143
3441.79	157.97143
3443.71	158.2
3445.64	158.57143
3447.56	158.97143
3449.49	159.42857
3451.41	159.78571
3453.34	160.24286
3455.26	160.55714
3457.19	161.01429
3459.11	161.4
3461.04	161.81429
3462.96	162.21429
3464.89	162.61429
3466.81	163.02857
3468.74	163.54286
3470.66	163.91429
3472.59	164.4
3474.51	164.74286
3476.44	165.12857
3478.36	165.47143
3480.29	165.75714
3482.21	166.08571
3484.14	166.4
3486.06	166.65714
3487.98	166.78571
3489.91	166.9
3491.83	167.05714
3493.76	167.08571
3495.68	166.98571
3497.61	166.84286
3499.53	166.48571
3501.46	166.31429
3503.38	166.07143
3505.31	165.57143
3507.23	165.15714
3509.16	164.68571
3511.08	164.08571
3513.01	163.35714
3514.93	162.62857
3516.86	161.94286
3518.78	161.24286
3520.71	160.31429
3522.63	159.6
3524.56	158.8
3526.48	158.1
3528.41	157.25714
3530.33	156.45714
3532.26	155.62857
3534.18	155.04286
3536.11	154.3
3538.03	153.57143
3539.96	152.85714
3541.88	152.38571
3543.81	151.88571
3545.73	151.45714
3547.66	151.04286
3549.58	150.6
3551.51	150.28571
3553.43	150.02857
3555.36	149.68571
3557.28	149.58571
3559.21	149.22857
3561.13	149.12857
3563.06	149.17143
3564.98	148.95714
3566.91	148.88571
3568.83	148.64286
3570.76	148.51429
3572.68	148.32857
3574.61	148.2
3576.53	147.91429
3578.46	147.71429
3580.38	147.37143
3582.31	146.87143
3584.23	146.65714
3586.16	146.14286
3588.08	145.88571
3590.01	145.6
3591.93	145.34286
3593.86	145.2
3595.78	145.35714
3597.71	145.42857
3599.63	145.62857
3601.56	145.78571
3603.48	146.21429
3605.41	146.47143
3607.33	146.71429
3609.26	147.1
3611.18	147.24286
3613.11	147.54286
3615.03	148.1
3616.96	148.51429
3618.88	148.98571
3620.81	149.04286
3622.73	148.62857
3624.66	148.35714
3626.58	147.45714
3628.51	146.35714
3630.43	145.44286
3632.36	144.52857
3634.28	143.65714
3636.21	142.97143
3638.13	142.42143
3640.05	141.79286
3641.98	141.50571
3643.9	141.20429
3645.83	141.13429
3647.75	141.16
3649.68	141.14
3651.6	141.15
3653.53	141.22
3655.45	141.26571
3657.38	141.41143
3659.3	141.60143
3661.23	141.77286
3663.15	141.82857
3665.08	142.13429
3667	142.33143
3668.93	142.45714
3670.85	142.72286
3672.78	142.95714
3674.7	143.11429
3676.63	143.3
3678.55	143.37143
3680.48	143.5
3682.4	143.57143
3684.33	143.68571
3686.25	143.64286
3688.18	143.55714
3690.1	143.4
3692.03	143.4
3693.95	143.45714
3695.88	143.61429
3697.8	143.87143
3699.73	143.92857
3701.65	144.24286
3703.58	144.72857
3705.5	145.07143
3707.43	145.51429
3709.35	145.74286
3711.28	146.18571
3713.2	146.68571
3715.13	147.07143
3717.05	147.91429
3718.98	149.14286
3720.9	150.64286
3722.83	152.84286
3724.75	155.41429
3726.68	159.08571
3728.6	163.32857
3730.53	168.24286
3732.45	173.64286
3734.38	179.5
3736.3	185.75714
3738.23	193.87143
3740.15	201.8
3742.08	199.78571
3744	173.32857
3745.93	154.17143
3747.85	148.71429
3749.78	144.28571
3751.7	140.88857
3753.63	138.46
3755.55	136.79
3757.48	135.61857
3759.4	135.06571
3761.33	135.26714
3763.25	135.10571
3765.18	135.56857
3767.1	136.07571
3769.03	136.56857
3770.95	136.79
3772.88	136.78
3774.8	136.67
3776.73	136.40286
3778.65	135.99143
3780.58	135.43714
3782.5	135.10143
3784.43	134.71857
3786.35	134.29143
3788.28	134.04571
3790.2	133.76857
3792.12	133.66286
3794.05	133.27571
3795.97	133.22571
3797.9	133.01
3799.82	132.73857
3801.75	132.84857
